ACG 2021, Principles of Financial Accounting
ARA 1121, Modern Arabic II
ARA 2220, Modern Arabic III
ARA 2221, Modern Arabic IV
ARA 4905, Directed Study
ARC 2180, Introduction to Digital Architecture
ARC 2211, Introduction to Architecture
ARC 2701, Architectural History I
ARC 2702, Architectural History II
ARC 4376, Architecture for Real Estate & Development
ARC 4541, Physics for Architects
ARC 4784, The City
ARC 4884, Sustainable Neighborhood Development
ARC 4931, Selected Topics in Architecture and Community Design
ARH 2000, Art and Culture
ARH 2050, History of Visual Arts I
ARH 2051, History of Visual Arts II
ARH 3001, Introduction To Art
ARH 4115, Ancient Egyptian and Near Eastern Art
ARH 4130, Greek Art
ARH 4151, Roman Art
ARH 4200, Medieval Art
ARH 4301, Renaissance Art
ARH 4310, Early Italian Renaissance
ARH 4312, Late Italian Renaissance
ARH 4318, Venetian Art
ARH 4333, Northern Renaissance Art
ARH 4350, Baroque and Rococo Art
ARH 4430, Nineteenth Century Art
ARH 4450, Twentieth Century Art
ARH 4455, Modern Political Iconography
ARH 4530, Asian Art
ARH 4557, Chinese Art
ARH 4571, Themes in Islamic Art and Architecture
ARH 4573, Visual Cultures of the Middle East
ARH 4710, History of Photography
ARH 4724, History of Graphic Design
ARH 4744, Selected Topics in the History of Film
ARH 4800, Critical Studies in Art History
ARH 4890, Paris Art History
ARH 4930, Art History: Selected Topics
ARH 4940, Art History Practicum
ART 2251, Illustration I
ART 2344, Beginning Drawing for Graphic Arts
ART 2345, Intermediate Drawing for Graphic Arts
ART 2430, Silkscreen
ART 2602, Digital Imaging
ART 2852, Arts of Resistance
ART 2930, Selected Topics In Art
ART 3465, Digital Printmaking
ART 3618, Technology Essentials for Artists
ART 3635, Selected Topics in Film and Video
ART 3640, The Art of Video Games
ART 3735, Selected Topics in Sculpture
ART 3939, The Real World
ART 4023, Animation Process
ART 4642, Digital Fabrications for Artists
ART 4806, Theme Studio
ART 4814, Paris Art Studio
ART 4900, Directed Reading
ART 4905, Directed Study
ART 4930, Selected Topics In Art
ART 4940, Art and Art History Internship
ART 4941, Avant-garde: Professional Practices for BA Studio Majors
ASH 2270, Southeast Asian History
ASL 2160, American Sign Language III
ASL 2220, American Sign Language IV
ASL 2300, Linguistics of ASL
ASL 3005, History of the Deaf Community
ASL 3202, American Sign Language V
ASL 3324, ASL Narratives - Analysis Comprehension and Fluency
ASL 3505, Advanced Deaf Cultural Studies
ASL 3514, Deaf Culture
ASL 3517, Audism Linguicism and Systems of Oppression
ASL 4405, Sign Language Codes
ASL 4435, Fundamentals of Fingerspelling
ASL 4515, Leadership Advocacy and Issues in Deaf Studies
ASL 4602, Methods of Teaching American Sign Language
ASL 4700, ASL Literature
ASN 3012, Japan Today
ASN 3014, China Today
ASN 3030, The Middle East
ASN 3201, East Asian Cinema
ASN 4414, Introduction to East Asian Cultures
AST 2002, Descriptive Astronomy
AST 2004, Stellar Astronomy and Cosmology
AST 3033, Contemporary Thinking in Astronomy
AST 3044, Archaeoastronomy
AST 3930, Selected Topics in Astronomy
AST 4217, Stellar Astrophysics
ATR 1000, Introduction to Athletic Training
ATR 3123, Foundations of Athletic Training
ATR 3132, Kinesiology and Pathomechanics
ATR 4504, Seminar in Sports Medicine
ATR 4902, Independent Study in Sports Medicine
BCH 3023, Introductory Biochemistry
BCH 3053, General Biochemistry
BCH 4033, Advanced Biochemistry I
BCH 4034, Advanced Biochemistry II
BME 3053, Computer Programming for BME
BME 3082, Ethics for Biomedical Engineers
BME 3312, Molecular and Cellular Engineering
BME 3632, Biomedical Transport Process
BME 4100, Introduction to Biomedical Engineering
BME 4406, Engineering of Biological Systems
BME 4409, Engineering Physiology
BME 4423, Connectomics
BME 4440, Introduction to Bioastronautics
BME 4503, Biomedical Instrumentation
BME 4508, Biomedical Signals and Systems Analysis
BME 4509, Bioelectronics
BME 4571, Nanomedicine
BME 4882, Biomedical Engineering Design I
BME 4914, Biomedical Engineering Research Experience
BME 4931, Selected Topics in Biomedical Engineering
BME 4943, Biomedical Engineering Industry Internship Experience
BOT 3850, Medical Botany
BOT 4851, Plants and Human Health
BSC 1005, Biological Principles for Non-Majors
BSC 1020, The Biology of Humans
BSC 2010, Cellular Processes
BSC 2011, Biodiversity
BSC 2085, Anatomy and Physiology I for Health Professionals
BSC 2086, Anatomy and Physiology II for Nursing and other Healthcare Professionals
BSC 2932, Selected Topics in Biology
BSC 2933, Honors Seminar II: Philosophy And Ethics Of Science
BSC 2934, Honors Seminar III: Scientific Approaches
BSC 2938, Honors Seminar I
BSC 3022, Biology of Aging
BSC 3312, Marine Biology
BSC 3453, Research Methods in Biology
BSC 3848, Scientific Communication
BSC 4052, Conservation Biology
BSC 4057, Environmental Issues
BSC 4102, Knowing Life
BSC 4284, Symbiosis and the Environment
BSC 4315, Deep Sea Biology
BSC 4333, Ecology Of Aquatic Vascular Plants
BSC 4444, Genomics
BSC 4452, Computational Biology
BSC 4851, Biology of Film
BSC 4866, Restoration Ecology
BSC 4905, Independent Study
BSC 4910, Undergraduate Research
BSC 4933, Selected Topics in Biology
BSC 4935, Seminar in Cell and Molecular Biology
BSC 4937, Seminar in Marine Biology
BSC 4938, Biology Capstone
BSC 4940, Biology Internship
BUL 3320, Law And Business I
BUL 3321, Law And Business II
BUL 4930, Business Law: Selected Topics
CAP 4034, Computer Animation Fundamentals
CAP 4103, Mobile Biometrics
CAP 4111, Introduction to Augmented and Virtual Reality
CAP 4136, Malware Analysis and Reverse Engineering
CAP 4160, Brain-Computer Interfaces
CAP 4401, Image Processing Fundamentals
CAP 4410, Computer Vision
CAP 4621, Introduction to Artificial Intelligence
CAP 4628, Affective Computing
CAP 4637, Automated Reasoning and Theorem Proving
CAP 4641, Natural Language Processing
CAP 4662, Introduction to Robotics
CAP 4744, Interactive Data Visualization
CAP 4773, Social Media Mining
CAP 4790, Data and Security Analytics
CBH 4004, Comparative Psychology
CCE 4031, Construction Management
CCJ 3014, Crime and Justice in America
CCJ 3024, Survey of the Criminal Justice System
CCJ 3026, Crime and Social Justice
CCJ 3058, Professionalism in Criminology and Criminal Justice
CCJ 3075, Introduction to Cybercrime
CCJ 3081, Combating Cybercrime
CCJ 3083, Cyber Violence
CCJ 3117, Theories of Criminal Behavior
CCJ 3120, Hate Crime
CCJ 3336, Prisoner Reentry and Recidivism: When Inmates Come Home
CCJ 3621, Patterns of Criminal Behavior
CCJ 3623, Violence
CCJ 3632, Serial Killers
CCJ 3644, White Collar Crime
CCJ 3666, Victimology
CCJ 3701, Research Methods in Criminal Justice I
CCJ 3718, Applied Statistics in Crime
CCJ 4072, Introduction to Crime Mapping with ArcGIS
CCJ 4224, Miscarriages of Justice
CCJ 4361, Death Penalty
CCJ 4450, Criminal Justice Administration
CCJ 4487, Ethics and the Criminal Justice System
CCJ 4604, Abnormal Behavior and Criminality
CCJ 4613, Forensic Psychology
CCJ 4651, Drugs and Crime
CCJ 4662, Race and Crime
CCJ 4670, Women and Crime
CCJ 4681, Domestic Violence
CCJ 4690, Sex Offenders
CCJ 4794, Environmental Criminology
CCJ 4900, Directed Readings
CCJ 4910, Directed Research
CCJ 4930, Critical Issues in Policing
CCJ 4933, Selected Topics in Criminology
CCJ 4934, Seminar in Criminology
CCJ 4939, Senior Capstone Seminar
CCJ 4940, Internship for Criminal Justice Majors
CJE 3213, Digital Forensics
CDA 3103, Computer Organization
CDA 3201, Computer Logic and Design
CDA 4203, Computer System Design
CDA 4205, Computer Architecture
CDA 4213, CMOS-VLSI Design
CDA 4253, Field Programmable Gate Array System Design and Analysis
CDA 4321, Cryptographic Hardware and Embedded Systems
CDA 4322, Principles of Secure Hardware Design
CDA 4323, Practical Hardware Security
CDA 4621, Control of Mobile Robots
CDA 4622, Introduction to Mobile Robotics for Information Technology
CDA 4623, Advanced Mobile Robotics for Information Technology
CEG 4011, Geotechnical Engineering I
CEG 4012, Geotechnical Engineering II
CEG 4850, Capstone Geotechnical/Transportation Design
CEN 3722, Human Computer Interfaces for Information Technology
CEN 4020, Software Engineering
CEN 4072, Software Testing
CEN 4360, Mobile Applications Development for IT
CES 3102, Structures I
CES 4605, Concepts of Steel Design
CES 4702, Concepts of Concrete Design
CES 4704, Capstone Structural/Materials Design
CES 4750, Capstone Structural/Geotechnical/ Material Design
CGN 4122, Professional and Ethical Issues in Engineering
CGN 4851, Concrete Construction Materials
CGN 4905, Independent Study
CGN 4933, Special Topics in Civil and Environmental Engineering
CGS 1540, Introduction to Databases for Information Technology
CGS 2060, Introduction to Computers and Computer Programming
CGS 2100, Computers in Business
CGS 3303, IT Concepts
CGS 3343, Health Information Systems for Information Technology
CGS 3850, Web Development: JavaScript & jQuery
CGS 3853, Web Systems for IT
CGS 4857, Android Web Applications (w/HTML5 CSS3 JavaScript)
CHD 4537, Parenting in the Twenty First Century
CHI 1100, Practical Chinese
CHI 1120, Modern Chinese I
CHI 1121, Modern Chinese II
CHI 1955, Overseas Study in China
CHI 2220, Modern Chinese III
CHI 2221, Modern Chinese IV
CHI 3241, Advanced Chinese Conversation I
CHI 3242, Advanced Chinese Conversation II
CHI 4443, Networking in China and America
CHI 4905, Directed Study
CHI 4930, Special Topics
CHM 2020, Chemistry for Liberal Studies I
CHM 2023, Chemistry for Today
CHM 2045, General Chemistry I
CHM 2046, General Chemistry II
CHM 2210, Organic Chemistry I
CHM 2211, Organic Chemistry II
CHM 3080, Chemistry for Sustainability
CHM 3610, Intermediate Inorganic Chemistry
CHM 3941, Peer Leading in Chemistry
CHM 4035, Environmental Chemistry I
CHM 4038, Environmental Chemistry II
CHM 4060, Use of Chemical Literature
CHM 4070, Historical Perspectives in Chemistry
CHM 4230, Spectroscopic Analysis of Organic Compounds
CHM 4274, Introduction to Drug Discovery
CHM 4292, Introduction to Medicinal Chemistry
CHM 4300, Biomolecules I
CHM 4307, Bio-Organic Chemistry
CHM 4410, Physical Chemistry I
CHM 4411, Physical Chemistry II
CHM 4413, Biophysical Chemistry
CHM 4418, Functional Porous Materials
CHM 4455, Chemistry of High Polymers
CHM 4611, Advanced Inorganic Chemistry
CHM 4803, Safety in the Chemistry Laboratory
CHM 4905, Independent Study
CHM 4932, Selected Topics in Chemistry
CHM 4970, Undergraduate Research
CHS 2440, General Chemistry for Engineers
CHS 4300, Fundamentals of Clinical Chemistry
CHS 4411, Chemistry and Microbiology of Beer
CHT 3110, Traditional Chinese Literature in Translation
CHT 3124, Modern Chinese Literature in Translation
CHT 3500, Introduction to Chinese Culture
CHT 3512, Contemporary Chinese Language and Society
CHT 3520, Chinese Film
CIS 3213, Foundations of Cybersecurity
CIS 3303, Unified Modeling Language
CIS 3360, Principles of Information Security
CIS 3362, Cryptography and Information Security
CIS 3363, Information Technology Systems Security
CIS 3367, Architecting Operating System Security
CIS 3433, System Integration and Architecture for IT
CIS 3615, Secure Software Development
CIS 4083, Cloud Computing for IT
CIS 4200, Penetration Testing for IT
CIS 4203, Cyber Forensics and Investigations
CIS 4204, Ethical Hacking
CIS 4212, Privacy-Preserving and Trustworthy Cyber-Infrastructures
CIS 4216, Aggressive Hacking - What Hackers Do
CIS 4219, Human Aspects of Cybersecurity
CIS 4250, Ethical Issues and Professional Conduct
CIS 4253, Ethics for Information Technology
CIS 4342, NoSQL Databases
CIS 4344, Big Data Architecture with Hadoop
CIS 4345, Big Data Storage and Analysis with Hadoop
CIS 4361, Information Assurance and Security Management for IT
CIS 4365, Computer Security Policies and Disaster Preparedness
CIS 4368, Database Security and Audits
CIS 4387, Mobile and Wireless Security
CIS 4510, IT Project Management
CIS 4514, Requirements Led PM/PM Software & Tools
CIS 4518, Quality & Testing w/ Agile in Project Management
CIS 4524, IT Project Schedule & Cost Control
CIS 4525, Contract Management & Negotiations
CIS 4622, Hands-on Cybersecurity
CIS 4623, Practical Cybersecurity
CIS 4778, Applied Data and Information Security
CIS 4900, Independent Study in Computer Science
CIS 4910, Computer Science and Engineering Project
CIS 4915, Supervised Research in Computer Science
CIS 4916, Cyber Security and IT Capstone Project
CIS 4930, Special Topics in Computer Science I
CIS 4932, Special Topics for Information Technology
CIS 4935, Senior Project in Information Technology
CIS 4940, Industry Internship
CIS 4947, Industry Internship for IT
CJC 4010, American Correctional Systems
CJE 3444, Crime Prevention
CJE 3650, Introduction to Forensic Science
CJE 3656, Introduction to Crime Analysis
CJE 3689, Cybercrime Investigations
CJE 3701, Gangs
CJE 4010, Juvenile Justice System
CJE 4114, American Law Enforcement Systems
CJE 4244, Analytic Forensic Case Studies
CJE 4610, Criminal Investigation
CJE 4647, Crime Scene Sciences
CJE 4731, Forensic Investigations
CJL 3110, Substantive Criminal Law
CJL 3502, Introduction to Courts
CJL 4115, Environmental Law and Crime
CJL 4410, Criminal Rights and Procedures
CLA 3103, Daily Life in Ancient Greece
CLA 3124, Daily Life in Ancient Rome
CLA 3435, Ancient Globalization: East and West in the Hellenistic World
CLA 3503, Ancient Medicine: Quacks Doctors and Magicians
CLA 3930, Selected Topics
CLA 4501, Women in Antiquity
CLP 2001, Psychology of Adjustment
CLP 4134, Abnormal Child Psychology
CLP 4143, Abnormal Psychology
CLP 4302, Introduction to Clinical Psychology
CLP 4314, Health Psychology
CLP 4414, Behavior Modification
CLP 4433, Psychological Tests and Measurement
CLP 4620, Ethics in Psychology and Health
CLP 4941, Community Practicum in Selected Topics
CLT 2044, Wordpower from Latin and Greek
CLT 3040, Scientific and Medical Terminology
CLT 3103, Epic Battles and Dramatic Reversals in Greek Thought
CLT 3123, Voyages and Metamorphoses in Roman Imagination
CLT 3370, Gods Heroes and Monsters in the Ancient World
CLT 3511, Greece and Rome in World Film
CLT 3521, American Greece American Rome
CNT 4004, Computer Networks I
CNT 4104, Computer Information Networks for Information Technology
CNT 4403, Network Security and Firewalls
CNT 4411, Computing and Network Security
CNT 4419, Secure Coding
CNT 4603, System Administration and Maintenance for Information Technology
CNT 4800, Network Science
COM 2000, Introduction to Communication
COM 2130, Communication Skills for Health Professionals
COM 3014, Communication Gender and Identity
COM 3051, Analyzing Culture and Media
COM 3052, Cultural Studies and Communication
COM 3110, Communication For Business and the Professions
COM 3120, Organizational Communication
COM 3122, Interview Communication
COM 3413, Communication and Visual Culture
COM 4020, Communicating Illness Grief and Loss
COM 4021, Family Communication and the End of Life
COM 4022, Health Communication
COM 4027, Intercultural Health Communication
COM 4030, Women and Communication
COM 4124, Communication and Organizational Change
COM 4151, Communication and Working Life in Cont Orgs
COM 4152, Communication and Leadership
COM 4321, Applied Research Methods
COM 4374, Critical Issues in Social Media
COM 4414, Race and Gender in Popular Film and Television
COM 4530, Influencing Public Opinion
COM 4702, Communication Language and Mental Illness
COM 4710, Writing Lives
COM 4744, Critical Issues in Reality Television
COM 4931, Special Topics in Media Analysis
COM 4958, Communication Senior Capstone
COP 2030, Programming Concepts I
COP 2250, Object-Oriented Programming (Java SE)
COP 2510, Programming Concepts
COP 2512, Programming Fundamentals for Information Technology
COP 2513, Object Oriented Programming for Information Technology
COP 2700, Database Systems Basics
COP 2930, Special Topics for Information Technology
COP 2931, Special Topics for Information Technology
COP 3259, Advanced Programming in JAVA
COP 3331, Object Oriented Software Design
COP 3353, User-Level Introduction to Linux for IT
COP 3375, Data Structures and Algorithms w/ Python
COP 3415, Data Structures and Algorithms
COP 3514, Program Design
COP 3515, Advanced Program Design for Information Technology
COP 3718, Database Systems Design
COP 3722, Advanced Database Systems Design
COP 4020, Programming Languages
COP 4313, Symbolic Computations in Mathematics
COP 4365, Software System Development
COP 4368, Adv Object-Oriented Programming for IT
COP 4376, Java-Based Python (Jython)
COP 4520, Computing in Massively Parallel Systems
COP 4530, Data Structures
COP 4538, Data Structures and Algorithms for Information Technology
COP 4564, Application Maintenance & Debugging for IT
COP 4600, Operating Systems
COP 4620, Compilers
COP 4656, Software Development for Mobile Devices
COP 4663, Mobile Applications Development
COP 4703, Advanced Database Systems for Information Technology
COP 4710, Database Design
COP 4834, Data-Driven Web Sites
COP 4854, Rich Internet Applications
COP 4883, Java Programming for Information Technology
COP 4900, Independent Study in Information Technology
COP 4931, Special Topics for Information Technology
COT 3100, Introduction to Discrete Structures
COT 4210, Automata Theory and Formal Languages
COT 4400, Analysis of Algorithms
COT 4521, Computational Geometry
COT 4601, Quantum Computing and Quantum Algorithms
CPO 2002, Introduction to Comparative Politics
CPO 3614, Politics of Eastern Europe
CPO 3643, Russian Politics
CPO 3700, Comparative Law
CPO 4034, Politics of the Developing Areas
CPO 4930, Comparative Government and Politics of Select Areas
CRW 2100, Narration and Description
CRW 3013, Creative Writing
CRW 3111, Form and Technique of Fiction
CRW 3112, Fiction I
CRW 3121, Fiction II
CRW 3211, Form and Technique of Nonfiction
CRW 3212, Nonfiction I
CRW 3221, Nonfiction II
CRW 3311, Form and Technique of Poetry
CRW 3312, Poetry I
CRW 3321, Poetry II
CRW 4924, Advanced Creative Writing
CRW 4930, Selected Topics in Creative Writing
CTS 3165, Linux Essentials
CTS 4337, Linux Workstations System Administration for IT
CTS 4348, Linux Administration
CTS 4805, Web Development Tools
CWR 4202, Hydraulics
CWR 4540, Water Resources Engineering I
CWR 4541, Water Resources Engineering II
CWR 4620, Ecological Engineering
CWR 4812, Capstone Water Resources-Environmental Design
DAA 2100, Fundamentals Of Modern Dance
DAA 2104, Modern Dance I
DAA 2200, Fundamentals Of Ballet
DAA 2204, Ballet I
DAA 2500, Fundamentals Of Jazz Dance
DAA 2504, Jazz Dance
DAA 3108, Modern Dance II
DAA 3109, Modern Dance III
DAA 3209, Ballet III
DAA 3214, Ballet II
DAA 3294, Ballet Variations
DAA 3395, World Dance Topics
DAA 3614, Choreography I
DAA 3615, Choreography II
DAA 3624, Dance Improvisation
DAA 3654, Repertory I
DAA 3684, Repertory II
DAA 3686, Junior Performance Project
DAA 4110, Modern Dance IV
DAA 4211, Ballet IV
DAA 4616, Choreography III
DAA 4617, Choreography IV
DAA 4687, Performance
DAA 4694, Senior Choreography Project
DAE 4340, Dance Pedagogy: Secondary Curriculum
DAE 4394, Senior Seminar In Dance Education
DAN 2100, Understanding the Dance Experience
DAN 2160, Entry Seminar
DAN 3584, Technical Theatre in Dance
DAN 3714, Dance Kinesiology
DAN 4134, Ballet History
DAN 4135, 20th Century Dance History
DAN 4162, Research in Dance I
DAN 4163, Research in Dance II
DAN 4180, Dance Senior Seminar
DAN 4434, Laban Movement Analysis
DAN 4906, Directed Study
DAN 4930, Selected Topics In Dance
DEP 2004, The Life Cycle
DEP 4053, Developmental Psychology
DEP 4220, Autism Spectrum Disorders
DIG 3184, Motion Design
DSC 3013, Terrorism and Homeland Security
DSC 3594, Introduction to Intelligence Analysis
EAS 4121, Hydro and Aerodynamics
EBD 4011, Introduction to Behavior Disorders
EBD 4909, Directed Study: Behavior Disorders
EBD 4941, Undergraduate Supervised Practicum in Behavior Disorders
ECH 3002, Introduction to Chemical and Biomolecular Engineering
ECH 3023, Material and Energy Balances
ECH 3101, Chemical Engineering Thermodynamics I
ECH 3266, Transport Phenomena I
ECH 3702, Instrument Systems I
ECH 3783, Sustaining the Earth: An Engineering Approach
ECH 3854, Engineering Computations
ECH 4123, Chemical Engineering Thermodynamics II
ECH 4267, Transport Phenomena II
ECH 4323, Process Dynamics and Control
ECH 4418, Separation Processes
ECH 4504, Kinetics and Reaction Engineering
ECH 4535, Catalysis: Concepts and Applications
ECH 4605, Product and Process Systems Engineering
ECH 4715, Chemical Process Safety and Ethics
ECH 4804, Synthetic Fuel Production
ECH 4846, Numerical Methods in Chemical Engineering
ECH 4905, Independent Study
ECH 4931, Special Topics in Chemical Engineering II
ECH 4936, Undergraduate Seminar
ECH 4944, Industry Internship
ECO 1000, Basic Economics
ECO 2013, Economic Principles (Macroeconomics)
ECO 2023, Economic Principles (Microeconomics)
ECO 2052, Analytical Tools for Economists
ECO 3101, Intermediate Price Theory
ECO 3203, Intermediate Macroeconomics
ECO 3622, American Economic History
ECO 3703, International Economics
ECO 4105, Advanced Price Theory
ECO 4201, Advanced Macroeconomic Theory
ECO 4270, Economic Growth
ECO 4303, History of Economic Thought
ECO 4400, Game Theory and Economic Applications
ECO 4401, Introduction to Mathematical Economics
ECO 4421, Introduction to Econometrics
ECO 4422, Time Series Analysis and Forecasting
ECO 4504, Public Finance
ECO 4704, International Trade and Policy
ECO 4713, International Macroeconomics
ECO 4914, Independent Research
ECO 4935, Selected Topics in Economics
ECO 4970, Economics Honors Thesis
ECP 3008, Economics of Tourism
ECP 3125, Economics of Inequality
ECP 3201, Economics of Women and Work
ECP 3203, Labor Economics
ECP 3302, Environmental Economics
ECP 3303, Economics and the Environment
ECP 3403, Industrial Organization
ECP 3413, Economics of Regulation and Antitrust
ECP 3530, Economics of Health
ECP 3613, Urban Economics
ECP 3623, Regional Economics
ECP 4451, Law and Economics
ECP 4510, Economics of Education
ECP 4704, Economics of Business Strategy
ECS 3013, Economic Development
ECS 4003, Comparative Economic Systems
ECS 4430, Economics of Latin America
ECT 4905, Independent Study: Industrial-Technical Education
ECT 4909, Directed Study: Industrial-Technical Education
ECT 4936, Senior Seminar in Industrial-Technical Education
EDE 4223, Creative Experiences: Using Arts-Based Inquiry & Design Thinking for Problem-Based Learning
EDE 4301, Instructional Planning for Diverse Learners
EDE 4302, The Learning Environment
EDE 4323, Planning for Instruction of Diverse Learners
EDE 4504, Creating and Differentiating Learning Environments
EDE 4802, The Teacher as Researcher
EDE 4905, Independent Study: Elementary Education
EDE 4940, Internship: Elementary Education
EDE 4941, Childhood Education Internship Level I
